t,x1,x2
3000,-1.1116387332901E-06,-6.20900342514787E-08
3010,-1.07224029143188E-06,-5.67916194038349E-08
3020,-1.03424685983791E-06,-5.17902987769203E-08
3030,-9.97608031325098E-07,-4.70716615802302E-08
3040,-9.6227521764416E-07,-4.26219464277612E-08
3050,-9.28201583482012E-07,-3.84280133386284E-08
3060,-8.95341982871213E-07,-3.44773169101514E-08
3070,-8.63652897918226E-07,-3.07578806153099E-08
3080,-8.3309237976554E-07,-2.72582721784106E-08
3090,-8.03619991705825E-07,-2.39675799846773E-08
3100,-7.75196754369276E-07,-2.08753904812648E-08
3110,-7.47785092908237E-07,-1.79717665289175E-08
3120,-7.21348786105963E-07,-1.52472266651476E-08
3130,-6.95852917339078E-07,-1.26927252413868E-08
3140,-6.71263827325885E-07,-1.02996333980951E-08
3150,-6.47549068595161E-07,-8.0597208432633E-09
3160,-6.24677361612482E-07,-5.96513840115267E-09
3170,-6.02618552503454E-07,-4.00840129946079E-09
3180,-5.81343572315411E-07,-2.18237316439159E-09
3190,-5.60824397761349E-07,-4.80250694352475E-10
3200,-5.41034013391859E-07,1.10445101581297E-09
3210,-5.21946375142889E-07,2.57791252700168E-09
3220,-5.03536375209018E-07,3.9460235102877E-09
3230,-4.85779808193814E-07,5.21439562841553E-09
3240,-4.68653338490609E-07,6.38837486813666E-09
3250,-4.52134468848734E-07,7.47305334620731E-09
3260,-4.36201510081919E-07,8.47328061093149E-09
3270,-4.20833551877147E-07,9.3936744602444E-09
3280,-4.06010434663771E-07,1.02386312964699E-08
3290,-3.91712722504202E-07,1.1012336037066E-08
3300,-3.77921676968861E-07,1.17187715998799E-08
3310,-3.64619231959493E-07,1.236172798068E-08
3320,-3.51787969446229E-07,1.29448109399997E-08
3330,-3.39411096085065E-07,1.34714503156359E-08
3340,-3.27472420683646E-07,1.39449079764706E-08
3350,-3.15956332484413E-07,1.43682854326438E-08
3360,-3.0484778023533E-07,1.47445311164881E-08
3370,-2.94132252019448E-07,1.50764473480446E-08
3380,-2.83795755815687E-07,1.53666969984105E-08
3390,-2.73824800764154E-07,1.5617809863625E-08
3400,-2.64206379110354E-07,1.58321887612766E-08
3410,-2.54927948803548E-07,1.60121153615143E-08
3420,-2.45977416725446E-07,1.61597557636619E-08
3430,-2.37343122526264E-07,1.62771658291753E-08
3440,-2.29013823046055E-07,1.63662962812362E-08
3450,-2.20978677299994E-07,1.64289975808563E-08
3460,-2.13227232007097E-07,1.64670245889499E-08
3470,-2.05749407642604E-07,1.64820410234501E-08
3480,-1.98535484994964E-07,1.64756237201626E-08
3490,-1.9157609220909E-07,1.6449266705693E-08
3500,-1.84862192298172E-07,1.64043850904391E-08
3510,-1.78385071107039E-07,1.63423187893056E-08
